MSOA,average_household_size
E02000792,2.261766602192134
E02000793,2.5581766018489
E02000794,2.535338890902501
E02000795,2.6541731066460588
E02000796,2.770158251695554
E02000797,2.240873814314458
E02000798,2.6059204440333024
E02000799,2.4122950819672133
E02000800,2.5076495132127956
E02000801,2.3527658164955283
E02000802,2.3281827342962713
E02000803,2.3672771672771673
E02000804,2.237929946355317
E02000805,2.300669112885819
E02000806,2.397836821067482
E02000807,2.202731655061596
E02000808,1.898936170212766
E02000810,2.2009640341119763
E02000812,2.2636223251709686
E02000813,2.260539817086772
E02000814,2.229193899782135
E02000815,2.1688833900402105
E02000816,2.3149264528574873
E02000817,2.2914383561643836
E02000818,2.177139037433155
E02000819,2.3858267716535435
E02000820,2.111610309765902
E02000821,2.8544061302681993
E02000822,2.414713306887847
E02000823,2.3781998348472335
E02000824,2.6029567053854277
E02000825,2.5646363402724237
E02000826,2.3827037773359843
E02000827,2.24033479473894
E02000828,2.445186421814135
E02000829,2.2778129617901626
E02000830,2.323498139287613
E02000831,2.305548705302096
E02000832,2.3528407705437697
E02000833,2.452724885095207
E02000834,2.2867933723196883
E02000835,2.5283828382838283
E02000836,2.472122302158273
E02000837,2.7066666666666666
E02000838,2.3955147808358817
E02000839,2.4196089874525826
E02000840,2.6773172135866434
E02000841,2.7675757575757576
E02000842,2.7789046653144016
E02000843,2.3795528761617684
E02000844,2.686372121966397
E02000845,2.6100803101633896
E02000846,2.7001795332136447
E02000847,2.55157437567861
E02000848,2.789166952348303
E02000849,2.502920381186597
E02000850,2.6466128637808755
E02000851,2.2962447844228095
E02000852,2.4944615384615383
E02000853,2.5459375
E02000854,2.4599416153097633
E02000855,2.5462472749922145
E02000856,2.45
E02000857,2.1426820299092917
E02000858,2.5865820489573887
E02000859,2.3898596390718994
E02000860,2.099077221952404
E02000861,2.676326815642458
E02000863,2.763831544178365
E02000864,2.4109324758842443
E02000865,2.61022805805114
E02000866,2.5245664739884393
E02000867,2.320952185512005
E02000868,2.4922800718132856
E02000869,2.3301625049544192
E02000870,2.614114733801073
E02000871,2.7138126773888365
E02000872,2.4942060757907925
E02000873,2.778958190541467
E02000874,2.7996039603960394
E02000875,2.656754627806223
E02000876,2.455135135135135
E02000877,2.785874211276206
E02000878,2.36284289276808
E02000879,2.7187397440105023
E02000880,2.7020157756354077
E02000881,2.7960560456668397
E02000882,2.9396008403361344
E02000883,2.982189973614776
E02000884,2.35366568914956
E02000885,2.7587792642140467
E02000886,2.4792156862745096
E02000887,2.7076260450975425
E02000888,2.529973158365643
E02000889,2.241397425794589
E02000890,1.9986163957108267
E02000893,2.4790899966543996
E02000894,2.4494960806270996
E02000895,2.5401281660054926
E02000896,2.4056800416883792
E02000897,2.512455516014235
E02000898,2.4885901844326352
E02000899,2.7127791563275436
E02000900,2.8560436037191406
E02000901,2.6839781874837705
E02000902,2.8218243819266835
E02000903,2.954427458898183
E02000904,2.698550724637681
E02000905,2.8771349862258955
E02000906,2.6556382685414945
E02000907,2.5444034440344403
E02000908,2.389270714012982
E02000909,2.570067264573991
E02000910,2.565622161671208
E02000911,2.6118787378841
E02000912,2.9437824625725635
E02000913,3.012836970474968
E02000914,2.8640825572615154
E02000915,2.431270953977446
E02000916,2.6406328478151684
E02000917,2.6063013698630138
E02000918,2.681924882629108
E02000919,2.7303337306317044
E02000920,2.6802096985583224
E02000921,2.731953683173195
E02000922,2.839614855570839
E02000923,2.1294321130008647
E02000925,2.3380867498514557
E02000926,2.0839337175792507
E02000927,2.193688118811881
E02000928,2.30722391364517
E02000929,2.3162710895052903
E02000930,2.280450598451068
E02000931,2.5288378766140602
E02000932,2.1650927487352445
E02000933,2.2551513609768508
E02000934,2.113441372735939
E02000935,2.5576055760557606
E02000936,2.1241159023499887
E02000937,2.6096547314578005
E02000938,2.448561565017261
E02000939,2.705923836389281
E02000940,2.2104888467014714
E02000941,2.4519091348477526
E02000942,2.534853249475891
E02000943,2.2832764505119454
E02000944,2.5427187824282256
E02000945,2.724375226367258
E02000946,2.460894753781783
E02000947,2.3819852003062008
E02000948,2.2644910999543586
E02000949,2.317508813160987
E02000950,2.427009646302251
E02000951,2.2512402551382
E02000952,2.30410237109522
E02000953,2.223052959501558
E02000954,2.7095195729537367
E02000955,2.570254110612855
E02000956,2.4271108179419527
E02000957,2.4494458267360324
E02000958,2.7400548696844993
E02000959,2.5209407216494846
E02000960,2.2078389068680333
E02000961,2.407817109144543
