MSOA,number_measured,number_obese,obesity_rate
E02000480,298.0,57.0,19.12751677852349
E02000481,242.0,49.0,20.24793388429752
E02000482,210.0,35.0,16.666666666666664
E02000483,209.0,34.0,16.267942583732058
E02000484,225.0,45.0,20.0
E02000485,205.0,42.0,20.48780487804878
E02000486,208.0,39.0,18.75
E02000487,253.0,30.0,11.857707509881422
E02000488,179.0,31.0,17.318435754189945
E02000489,246.0,51.0,20.73170731707317
E02000490,252.0,66.0,26.190476190476193
E02000491,313.0,70.0,22.364217252396166
E02000492,161.0,37.0,22.981366459627328
E02000493,227.0,56.0,24.669603524229075
E02000494,96.0,13.0,13.541666666666666
E02000495,212.0,41.0,19.339622641509436
E02000496,200.0,37.0,18.5
E02000497,245.0,43.0,17.551020408163264
E02000498,167.0,23.0,13.77245508982036
E02000499,230.0,28.0,12.173913043478262
E02000500,197.0,22.0,11.16751269035533
E02000501,276.0,48.0,17.391304347826086
E02000502,225.0,35.0,15.555555555555555
E02000503,297.0,49.0,16.4983164983165
E02000504,206.0,20.0,9.70873786407767
E02000506,205.0,34.0,16.585365853658537
E02000507,310.0,59.0,19.032258064516128
E02000508,178.0,31.0,17.415730337078653
E02000509,211.0,43.0,20.379146919431278
E02000510,274.0,45.0,16.423357664233578
E02000511,376.0,76.0,20.212765957446805
E02000512,301.0,58.0,19.269102990033225
E02000513,343.0,85.0,24.78134110787172
E02000514,389.0,103.0,26.47814910025707
E02000515,287.0,58.0,20.209059233449477
E02000516,306.0,76.0,24.836601307189543
E02000517,359.0,80.0,22.284122562674096
E02000518,321.0,85.0,26.479750778816197
E02000519,340.0,75.0,22.058823529411764
E02000520,448.0,112.0,25.0
E02000521,406.0,81.0,19.950738916256157
E02000522,274.0,64.0,23.357664233576642
E02000523,398.0,92.0,23.115577889447238
E02000524,175.0,49.0,28.000000000000004
E02000525,298.0,69.0,23.154362416107382
E02006796,257.0,48.0,18.67704280155642
E02000526,117.0,12.0,10.256410256410255
E02000528,291.0,73.0,25.085910652920962
E02000529,299.0,80.0,26.755852842809364
E02000530,227.0,53.0,23.348017621145374
E02000531,221.0,41.0,18.552036199095024
E02000532,190.0,35.0,18.421052631578945
E02000533,143.0,19.0,13.286713286713287
E02000534,186.0,27.0,14.516129032258066
E02000535,396.0,102.0,25.757575757575758
E02000536,310.0,76.0,24.516129032258064
E02000537,199.0,46.0,23.115577889447238
E02000538,286.0,79.0,27.62237762237762
E02000539,352.0,79.0,22.443181818181817
